alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1716619717.3269,transparent,5685.033765656,1716455903.3519,"AS137526 Plusnet Inc",PLUSNETINC-AS-AP,Chittagong,Asia,AS,Bangladesh,BD,,false,"Novel Chakma",22.3468,91.83,true,"M/S IT ZONE",false,Chittagong,success,Asia/Dhaka,4000,1716459685,1716619717.3269,6969,http,http://103.186.239.73:6969,false,8595.1540470123,432,2976,12.676056338028,103.186.239.73
true,1716619304.6686,elite,2108.4316571554,1715578918.1438,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1716195255,1716619717.2802,11335,http,http://67.43.236.20:11335,false,7617.799282074,78,12293,0.63050683049066,67.43.236.20
true,1716619717.1805,anonymous,6581.9352919656,1711295850.9502,"AS138886 PT Data Buana Nusantara",DBN-AS-ID,Blitar,Asia,AS,Indonesia,ID,,false,"PT Data Buana Nusantara",-8.0982,112.165,false,"PT DATA BUANA NUSANTARA",true,"East Java",success,Asia/Jakarta,,1716141466,1716619717.1805,8080,http,http://38.188.127.123:8080,false,2945.1031684875,6484,72089,8.2521985923918,38.188.127.123
true,1716619576.4991,elite,1180.4185720548,1713332102.563,"AS135629 Ningxia West Cloud Data Technology Co.Ltd.",WESTCLOUDDATA,Yinchuan,Asia,AS,China,CN,,false,"Ningxia West Cloud Data Technology Co.Ltd.",38.4872,106.231,false,"AWS EC2 (cn-northwest-1)",true,"Ningxia Hui Autonomous Region",success,Asia/Shanghai,,1716356490,1716619717.1499,3128,http,http://52.82.123.144:3128,false,1037.0311737061,20574,28292,42.102893627471,52.82.123.144
true,1716619717.0186,transparent,5891.1251707198,1710548707.4776,"AS266755 CONECTIVIDAD Y TECNOLOGIA S.A.","CONECTIVIDAD Y TECNOLOGIA S.A.","Guatemala City","North America",NA,Guatemala,GT,,false,"Conectividad Y Tecnologia S.A.",14.6343,-90.5155,false,"Conectividad Y Tecnologia S.A",true,Guatemala,success,America/Guatemala,01009,1716486265,1716619717.0186,999,http,http://45.233.67.210:999,false,14737.726211548,7037,77928,8.2822338610016,45.233.67.210
true,1716619716.9516,transparent,6538.2790544418,1710579566.7423,"AS149350 PT Pusaka Kreasi Mandiri",IDNIC-KUMARAHOTSPOT-AS-ID,Mekarjaya,Asia,AS,Indonesia,ID,,false,"PT Pusaka Kreasi Mandiri",-6.6437,108.321,false,"PT Pusaka Kreasi Mandiri",true,"West Java",success,Asia/Jakarta,,1716269668,1716619716.9516,8181,http,http://103.179.253.51:8181,false,4951.1151313782,792,25546,3.0070620396385,103.179.253.51
true,1716619569.8149,elite,2110.702308019,1715664690.5485,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1716295518,1716619716.9136,17369,http,http://72.10.160.90:17369,false,1376.2238025665,31,11462,0.26972940050466,72.10.160.90
true,1716619526.5356,elite,2477.4673600351,1713225656.4523,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1716506513,1716619716.6727,32569,http,http://67.43.227.228:32569,false,3862.4062538147,155,22471,0.68505259436047,67.43.227.228
true,1716619059.2292,elite,3199.4205491985,1715279329.4767,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1716607027,1716619716.6454,22741,http,http://72.10.160.174:22741,false,3397.2105979919,167,16070,1.0285151197881,72.10.160.174
true,1716567270.182,elite,262.13373400086,1714931157.7569,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"MediaServicePlus LLC",true,Moscow,success,Europe/Moscow,102483,1716140826,1716619716.6369,4444,http,http://185.128.106.80:4444,false,234.21192169189,35779,13,99.963679034421,185.128.106.80
true,1716619716.6344,anonymous,7612.5818255668,1710551220.6673,"AS35425 IOMART MANAGED SERVICES LIMITED",BYTEMARK-AS,York,Europe,EU,"United Kingdom",GB,,true,"Bytemark Computer Consulting Ltd /19",53.9801,-1.13009,false,"Bytemark Computer Consulting Ltd",true,England,success,Europe/London,"YO26 6BL",1716146791,1716619716.6344,34409,http,http://212.110.188.202:34409,false,14300.229549408,12143,79836,13.201926526707,212.110.188.202
true,1716619716.6241,transparent,6524.849076126,1710577748.3534,"AS140469 PT Wahyu Adidaya Network",WANET-AS-ID,Semarang,Asia,AS,Indonesia,ID,,false,"announced of WINET",-6.9932,110.4215,false,,true,"Central Java",success,Asia/Jakarta,,1716148227,1716619716.6241,3127,http,http://202.57.25.94:3127,false,5467.1528339386,8656,83415,9.4014401928946,202.57.25.94
true,1716619635.232,transparent,3064.0847184232,1716115369.8205,"AS24863 Link Egypt (Link.NET)",LINKdotNET-AS,Cairo,Africa,AF,Egypt,EG,,false,"LINKdotNET AS number",30.0588,31.2268,false,"Link Egypt (Link.NET)",false,"Cairo Governorate",success,Africa/Cairo,,1716117441,1716619716.5774,1976,http,http://45.240.163.236:1976,false,1476.2704372406,3204,7429,30.132606037807,45.240.163.236
true,1715614471.9587,elite,286.13239254626,1714932990.6254,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"MediaServicePlus LLC",true,Moscow,success,Europe/Moscow,102483,1716142652,1716619716.5444,4444,http,http://185.128.106.91:4444,false,271.61550521851,35712,37,99.896500601415,185.128.106.91
true,1716619716.5247,elite,2709.0048123431,1710608126.9333,"AS36666 GloboTech Communications",GTCOMM,Montreal,"North America",NA,Canada,CA,Ville-Marie,true,"GloboTech Communications",45.5049,-73.573,false,,true,Quebec,success,America/Toronto,H4X,1716473522,1716619716.5247,2565,http,http://72.10.164.178:2565,false,1452.3103237152,373,37734,0.97882278846406,72.10.164.178
true,1716615875.2583,elite,823.26831627833,1710702532.1421,"AS135905 VIETNAM POSTS AND TELECOMMUNICATIONS GROUP",VNPT-AS-VN,Hanoi,Asia,AS,Vietnam,VN,,false,"VietNam Post and Telecom Corporation",21.0278,105.834,false,"Vietnam Posts and Telecommunications Group",true,Hanoi,success,Asia/Ho_Chi_Minh,,1716333896,1716619716.5137,7777,http,http://123.30.154.171:7777,false,771.27933502197,45419,8522,84.201256928867,123.30.154.171
true,1716619716.466,transparent,5557.7572279805,1710730901.9224,"AS13760 Uniti Fiber Holdings Inc.",UNITI-FIBER,"Frisco City","North America",NA,"United States",US,,false,"Uniti Fiber Holdings Inc.",31.4221,-87.3809,false,"Uniti Fiber Holdings Inc",true,Alabama,success,America/Chicago,36445,1716176360,1716619716.466,8080,http,http://142.190.149.206:8080,false,8008.0976486206,8961,81612,9.8936769235865,142.190.149.206
true,1716616937.3249,anonymous,680.41361963967,1702815746.6426,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Singapore,Asia,AS,Singapore,SG,Pioneer,true,"DigitalOcean, LLC",1.32123,103.695,false,Digitalocean,true,"South West",success,Asia/Singapore,627753,1716582261,1716619716.3806,23128,http,http://178.128.113.118:23128,false,959.24186706543,186076,25293,88.033723015201,178.128.113.118
true,1716619716.2357,elite,730.93015455395,1710566260.8166,"AS210630 IncogNET LLC",INCOGNET,Naaldwijk,Europe,EU,"The Netherlands",NL,,false,"IncogNET LLC",51.9981,4.198,false,"IncogNET LLC",true,"South Holland",success,Europe/Amsterdam,2671,1716151581,1716619716.2357,80,http,http://23.137.248.197:80,false,75.860023498535,25723,67225,27.674613762534,23.137.248.197
true,1716619716.1239,transparent,7173.9338361595,1710566503.107,"AS138343 Cyber Net Communications",CYBER-AS-AP,Dhaka,Asia,AS,Bangladesh,BD,,false,"Cyber Net Communications",23.7272,90.4093,false,"Md. Rashed Harun-Or",true,"Dhaka Division",success,Asia/Dhaka,1000,1716151233,1716619716.1239,8080,http,http://103.130.175.169:8080,false,7426.8927574158,6833,85103,7.4323442394709,103.130.175.169
true,1716619715.9675,transparent,5600.4398143332,1710548932.4479,"AS12714 PJSC MegaFon",MEGAFON-AS,Belgorod,Europe,EU,Russia,RU,,false,"Net By Net Holding LLC",50.6165,36.5758,false,"Net By Net Holding LLC",true,"Belgorod Oblast",success,Europe/Moscow,308001,1716155123,1716619715.9675,80,http,http://176.194.189.40:80,false,3863.831281662,11411,80798,12.375147762149,176.194.189.40
true,1716619715.9453,elite,4386.2494748337,1697044457.2778,"AS9341 PT Indonesia Comnets Plus",ICONPLN-ID-AP-ISP,Bandung,Asia,AS,Indonesia,ID,,false,"PT. Indonesia Comnet Plus",-6.9217,107.6071,false,,true,"West Java",success,Asia/Jakarta,,1716585592,1716619715.9453,65437,socks4,socks4://202.46.84.226:65437,true,4113.2276058197,9741,89913,9.7748208802456,202.46.84.226
true,1716619715.9426,elite,4475.9658515876,1710809104.5889,"AS15083 Infolink Global Corporation",INFOLINK-MIA-US,Miami,"North America",NA,"United States",US,,true,"Infolink Global Corporation",25.8119,-80.2318,false,Serverpronto,true,Florida,success,America/New_York,33142,1716597759,1716619715.9426,29477,socks4,socks4://69.60.117.77:29477,true,8630.4662227631,282,18760,1.4809368763785,69.60.117.77
true,1716619715.931,elite,6316.9507719427,1710566330.6694,"AS24631 Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS",FANAPTELECOM-FCP,Tehran,Asia,AS,Iran,IR,,false,"Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS",35.6824,51.4158,false,"Fanaptelecom Network",true,Tehran,success,Asia/Tehran,,1716214657,1716619715.931,7070,http,http://46.32.25.18:7070,false,5169.0459251404,996,39296,2.4719547304676,46.32.25.18
true,1716619463.8581,elite,3260.2180935845,1715631945.9024,"AS44477 STARK INDUSTRIES SOLUTIONS LTD",STARK-INDUSTRIES,Meppel,Europe,EU,"The Netherlands",NL,,false,"Stark Industries Solutions LTD",52.6958,6.1956,false,"Stark Industries Solutions LTD",true,Drenthe,success,Europe/Amsterdam,7941,1716242516,1716619715.7453,3128,http,http://85.209.153.173:3128,false,105.9935092926,13108,7575,63.375719189673,85.209.153.173
true,1716608672.2099,elite,3323.5781788443,1710669687.8251,"AS4808 China Unicom Beijing Province Network",CHINA169-BJ,Jinrongjie,Asia,AS,China,CN,"Xicheng District",false,"China Unicom Beijing Province Network",39.9175,116.362,false,,true,Beijing,success,Asia/Shanghai,,1716477297,1716619715.7076,8181,http,http://111.206.0.99:8181,false,1183.5527420044,51460,24362,67.869483790984,111.206.0.99
true,1716619715.6447,transparent,7287.4850001552,1710540148.7347,"AS263693 WICORP SA","WICORP SA","Empalme Villa Constitucion","South America",SA,Argentina,AR,,false,"WICORP SA",-33.2687,-60.3799,false,"WICORP SA",true,"Santa Fe",success,America/Argentina/Cordoba,2918,1716514239,1716619715.6447,8095,http,http://179.60.235.248:8095,false,8691.2362575531,5469,70891,7.1621267679413,179.60.235.248
true,1716619715.6386,elite,3789.2632171694,1710566534.8388,"AS262186 TV AZTECA SUCURSAL COLOMBIA","TV AZTECA SUCURSAL COLOMBIA",Neiva,"South America",SA,Colombia,CO,,false,"TV AZTECA SUCURSAL COLOMBIA",2.93448,-75.2809,false,"TV AZTECA SUCURSAL COLOMBIA",true,"Huila Department",success,America/Bogota,410001,1716618941,1716619715.6386,4153,socks4,socks4://186.190.228.83:4153,true,1904.8497676849,6360,54195,10.502848649988,186.190.228.83
true,1716619715.5404,elite,3570.7699307175,1696976923.9653,"AS262504 Nova Rede de Telecomunicações Ltda","Nova Rede de Telecomunicações Ltda","Ribeirão das Neves","South America",SA,Brazil,BR,,false,"Nova Rede de Telecomunicações Ltda",-19.7629,-44.0591,false,"Nova Rede de Telecomunicações Ltda",true,"Minas Gerais",success,America/Sao_Paulo,33800,1716501298,1716619715.5404,5678,socks4,socks4://177.66.221.255:5678,true,8278.1655788422,10437,72290,12.616195438007,177.66.221.255
true,1716619715.5181,transparent,6066.7642268135,1710550311.7023,"AS7713 PT Telekomunikasi Indonesia",telkomnet-as-ap,"Cempaka Putih Barat",Asia,AS,Indonesia,ID,,false,"PT. Telekomunikasi Indonesia",-6.1753,106.8642,false,"Telekomunikasi Indonesia",true,Jakarta,success,Asia/Jakarta,,1716165185,1716619715.5181,8080,http,http://36.95.213.27:8080,false,2861.2177371979,7350,67728,9.7898185886678,36.95.213.27
true,1716619635.9016,transparent,883.43246936283,1710702144.2122,"AS9335 CAT Telecom Public Company Limited",cat-Cloud-AP,Bangkok,Asia,AS,Thailand,TH,,true,"CAT Telecom Public Company Limited",13.7063,100.4597,true,"National Telecom Public Company Limited",true,Bangkok,success,Asia/Bangkok,10110,1716145330,1716619715.4688,3128,http,http://122.155.165.191:3128,false,1699.1941928864,38021,54548,41.073145437457,122.155.165.191
true,1716589613.0354,elite,297.18977085746,1714933592.3214,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"Firstbyte Hosting",true,Moscow,success,Europe/Moscow,102483,1716143339,1716619715.2998,4444,http,http://185.105.91.99:4444,false,234.02404785156,35656,72,99.798477384684,185.105.91.99
true,1716617063.4197,elite,288.26497026253,1714934346.6186,"AS205090 FIRST SERVER LIMITED",FIRST-SERVER-EUROPE,Moscow,Europe,EU,Russia,RU,,false,"First Server Limited",55.7483,37.6171,false,"Firstbyte Hosting",true,Moscow,success,Europe/Moscow,102483,1716144006,1716619715.2918,4444,http,http://185.128.107.9:4444,false,270.55692672729,34569,1143,96.79939516129,185.128.107.9
true,1716619658.2068,transparent,6924.2283082406,1710725390.944,"AS56224 PRISAC AVIATION TECHNOLOGIES PRIVATE LIMITED",PRISAC-AS-AP,Mangalore,Asia,AS,India,IN,,false,"Prisac Aviation Technologies Private Limited",12.9187,74.8598,false,"Prisac Aviation Technologies Private Limited",true,Karnataka,success,Asia/Kolkata,574227,1716170886,1716619715.2153,83,http,http://202.12.80.7:83,false,9401.5505313873,9310,81802,10.218192993239,202.12.80.7
